url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,WeeksonChart,Length,BPM
http://www.billboard.com/charts/hot-100/2015-01-03,1/3/2015,7,Love Me Harder,Ariana Grande & The Weeknd,Love Me HarderAriana Grande & The Weeknd,1,9,7,11,3:56,99
http://www.billboard.com/charts/hot-100/2015-01-10,1/10/2015,7,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,4,4,12,4:41,79
http://www.billboard.com/charts/hot-100/2015-01-17,1/17/2015,7,Shake It Off,Taylor Swift,Shake It OffTaylor Swift,1,9,1,20,3:39,160
http://www.billboard.com/charts/hot-100/2015-01-24,1/24/2015,7,Jealous,Nick Jonas,JealousNick Jonas,1,9,7,18,3:43,93
http://www.billboard.com/charts/hot-100/2015-01-31,1/31/2015,7,I'm Not The Only One,Sam Smith,I'm Not The Only OneSam Smith,2,5,5,20,3:59,82
http://www.billboard.com/charts/hot-100/2015-02-07,2/7/2015,7,Lips Are Movin,Meghan Trainor,Lips Are MovinMeghan Trainor,1,6,4,14,3:02,139
http://www.billboard.com/charts/hot-100/2015-02-14,2/14/2015,7,I'm Not The Only One,Sam Smith,I'm Not The Only OneSam Smith,2,8,5,22,3:59,82
http://www.billboard.com/charts/hot-100/2015-02-21,2/21/2015,7,Lips Are Movin,Meghan Trainor,Lips Are MovinMeghan Trainor,1,6,4,16,3:02,139
http://www.billboard.com/charts/hot-100/2015-02-28,2/28/2015,7,Blank Space,Taylor Swift,Blank SpaceTaylor Swift,1,5,1,16,3:51,96
http://www.billboard.com/charts/hot-100/2015-03-07,3/7/2015,7,Blank Space,Taylor Swift,Blank SpaceTaylor Swift,1,7,1,17,3:51,96
http://www.billboard.com/charts/hot-100/2015-03-14,3/14/2015,7,Style,Taylor Swift,StyleTaylor Swift,3,8,7,12,3:51,95
